Symbol
LIN
APD
VALE
SHW
SCCO
GOOGL
GOOG
META
DIS
NFLX
XOM
CVX
COP
ENB
EOG
JPM
V
MA
BAC
WFC
AAPL
MSFT
NVDA
ADBE
ORCL
CSCO

 
