Symbol
CRH
LYB
MT
JHX
TX
VOD
SPOT
TEF
WPP
PSO
UL
BUD
DEO
BTI
CCEP
SHEL
TTE
BP
EQNR
SLB
HSBC
CB
UBS
ASML
ACN
SAP
