Date Range,Algorithm,Subfolder,CSV File,By Type,Buy Trade Count,Strong Buy Trade Count,Total Trades,Buy Win Rate (%),Strong Buy Win Rate (%),Overall Win Rate (%),Total Profit Buy (%),Total Profit Strong Buy (%),Avg Profit Buy (%),Avg Profit Strong Buy (%),Max Profit Buy (%),Min Profit Buy (%),Max Profit Strong Buy (%),Min Profit Strong Buy (%),Mean Buy,Volatility Buy,Relative Volatility Buy (%),Mean Strong Buy,Volatility Strong Buy,Relative Volatility Strong Buy (%),Overall Profit (%),Overall Max Profit (%),Overall Min Profit (%),Overall Mean,Overall Volatility,Overall Relative Volatility (%),Avg Holding Period (Days),Trade Frequency (Trades per Month),Time-Weighted Returns (%)
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,ADA-USD_DimBeta_signals.csv,Unknown,6,17,23,16.666666666666664,29.411764705882355,26.08695652173913,-10.91684274160432,29.415626114397604,-1.8194737902673868,1.7303309479057414,4.736658774212258,-7.226002203482349,32.60855935588598,-6.949177297598432,0.38519149521986645,0.032035012331619726,8.316645805830737,0.3001769439262502,0.05036765894100955,16.77932298270858,18.498783372793284,32.60855935588598,-7.226002203482349,0.3223546529593675,0.05946758193583476,18.44787453504839,7.434782608695652,2.0783132530120483,0.11493538254840496
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,ATOM-USD_DimBeta_signals.csv,Unknown,7,24,31,14.285714285714285,20.833333333333336,19.35483870967742,-26.07417046105896,-7.818047317362676,-3.724881494436994,-0.32575197155677815,0.6536512444114154,-10.853957835358855,35.459954127554575,-6.494350940021665,11.884927749633789,2.848306058211884,23.965699398548292,9.716297527154287,1.7482755602345421,17.993227928113658,-33.89221777842163,35.459954127554575,-10.853957835358855,10.205988222552884,2.24062306454174,21.9540040188414,5.161290322580645,2.7927927927927927,-0.34141791944891586
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,AVAX-USD_DimBeta_signals.csv,Unknown,7,17,24,28.57142857142857,29.411764705882355,29.166666666666668,-3.6919804310962854,27.95938520148819,-0.5274257758708979,1.6446697177345992,5.9188396616012735,-7.127718602553953,52.590113748013856,-8.619507181305277,17.302165712629044,2.5712403667792554,14.860800719891836,12.606208352481618,2.588639343464558,20.534638735801686,24.267404770391902,52.590113748013856,-8.619507181305277,13.975862582524618,3.351231706941292,23.97871106096638,6.833333333333333,2.1621621621621623,0.12482611607142524
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,BNB-USD_DimBeta_signals.csv,Unknown,8,20,28,25.0,25.0,25.0,-11.32350524615855,15.100065387743694,-1.4154381557698188,0.7550032693871847,1.4953139281558148,-5.454401882824184,17.523779852246147,-5.643846988639697,316.5091304779053,30.41239180817325,9.608693361310872,266.6773223876953,38.460690007945004,14.422182457656026,3.7765601415851435,17.523779852246147,-5.643846988639697,280.914981842041,42.75075955605515,15.218397849671819,5.678571428571429,2.568807339449541,0.009249382188235789
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,BTC-USD_DimBeta_signals.csv,Unknown,5,17,22,40.0,35.294117647058826,36.36363636363637,-1.5608781193633097,60.05225310243407,-0.31217562387266196,3.5324854766137688,2.2337552230139175,-3.628093459206985,38.01610557063804,-5.466108649857833,28386.441015625,2483.144287039203,8.747642177729796,25087.03676470588,4245.153551165052,16.92170179754915,58.49137498307076,38.01610557063804,-5.466108649857833,25836.9013671875,4151.956958972162,16.06987192452222,7.363636363636363,2.0121951219512195,0.6273862251117754
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,DAI-USD_DimBeta_signals.csv,Unknown,38,40,78,0.0,2.5,1.282051282051282,-1.8077086087745196,-1.6431558227411955,-0.04757127917827683,-0.04107889556852989,-0.0018000152107245622,-0.14736022648031508,0.03713343042675344,-0.21112798360810844,1.000094313370554,0.00019891093324175967,0.019889217505035386,0.9999049693346024,0.0003117881524357335,0.03118177846872951,-3.450864431515715,0.03713343042675344,-0.21112798360810844,0.9999972138649378,0.0002794363237060797,0.0279437102255588,2.3205128205128207,6.842105263157895,-0.033933034705477594
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,DOT-USD_DimBeta_signals.csv,Unknown,7,17,24,28.57142857142857,17.647058823529413,20.833333333333336,-12.416933651865754,7.374438407914626,-1.7738476645522507,0.4337904945832133,2.5219706823345933,-4.3018619113779915,43.09698945162149,-11.770008016028804,6.202785151345389,0.7019182082223848,11.316177992560942,5.031817941104665,0.6609292163878244,13.134998605349516,-5.042495243951128,43.09698945162149,-11.770008016028804,5.373350044091542,0.8581370249662815,15.970242361371497,7.208333333333333,2.1686746987951806,-0.13715711533021335
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,ETH-USD_DimBeta_signals.csv,Unknown,9,16,25,33.33333333333333,37.5,36.0,-8.048446984977023,39.25482587187047,-0.8942718872196692,2.4534266169919046,1.1254343212607056,-3.7400694102489322,29.612807248078532,-6.1143244434390756,1816.6331108940972,123.993015006852,6.825429651330424,1630.3417510986328,241.48376066149513,14.811849141369734,31.20637888689345,29.612807248078532,-6.1143244434390756,1697.406640625,225.50358471441555,13.28518336839917,6.36,2.2590361445783134,0.29175803910499676
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,LINK-USD_DimBeta_signals.csv,Unknown,9,14,23,44.44444444444444,35.714285714285715,39.130434782608695,-2.7422016665754256,44.46876743776619,-0.3046890740639362,3.1763405312690134,5.554095369316241,-6.714778968147115,25.37296928365877,-6.0470507029215455,7.255105177561442,0.3566578309788648,4.915956726332991,6.245094810213361,0.5015239386925171,8.030685745111734,41.726565771190764,25.37296928365877,-6.714778968147115,6.640316258306089,0.6677248707799973,10.055618509807703,6.739130434782608,2.0720720720720722,0.4107491753624568
2022-11-01-2023-11-01,Dimbeta,Crypto_INPUT,LTC-USD_DimBeta_signals.csv,Unknown,12,12,24,25.0,41.66666666666667,33.33333333333333,-12.749651478805294,35.32720941261219,-1.0624709565671078,2.9439341177176828,8.737757874459632,-6.531425877853793,24.00598592076507,-9.496220258335645,92.43416786193848,8.829508516908504,9.552212911243421,76.31486129760742,10.606573347127913,13.898437560890182,22.577557933806897,24.00598592076507,-9.496220258335645,84.37451457977295,12.656532717841943,15.000421372351322,6.333333333333333,2.1686746987951806,0.1554543837291147
